escenario,replica,tiempo_espera_promedio,prob_retraso,utilizacion,pedidos_atendidos,pedidos_retrasados,num_fallos,costo_total
E2_menos_camiones_x50,27,0.0,0.24385447394296952,0.20537472726851064,1017,248,222,50200000.0
E2_menos_camiones_x50,28,0.0,0.9299610894941635,0.2042412430375123,1028,956,243,85600000.0
E2_menos_camiones_x50,28,0.0,0.28891050583657585,0.2047132401418876,1028,297,241,52650000.0
E2_menos_camiones_x50,28,0.0,0.2843601895734597,0.2048203919012727,1055,300,259,52800000.0
E2_menos_camiones_x50,29,0.0,0.9170593779453345,0.205281716477076,1061,973,264,86450000.0
E2_menos_camiones_x50,29,0.0,0.2595573440643863,0.20438931532048416,994,258,254,50700000.0
E2_menos_camiones_x50,29,0.0,0.26403940886699506,0.2044123603218235,1015,268,231,51200000.0
E2_menos_camiones_x50,30,0.0,0.9107142857142857,0.204477205615807,1008,918,211,83700000.0
E2_menos_camiones_x50,30,0.0,0.2728174603174603,0.20541982716281004,1008,275,261,51550000.0
E2_menos_camiones_x50,30,0.0,0.27079107505070993,0.2042835961280819,986,267,202,51150000.0
E3_demanda_pico,1,0.0,0.8888888888888888,0.09641713479646097,36,32,9,43600.0
E3_demanda_pico,1,0.0,0.9117647058823529,0.09910633237971529,34,31,7,43550.0
E3_demanda_pico,2,0.0,0.9318181818181818,0.09954415872386273,44,41,11,44050.0
E3_demanda_pico,2,0.0,0.9491525423728814,0.10005477172949653,59,56,14,44800.0
E3_demanda_pico,3,0.0,0.868421052631579,0.09979663461935957,38,33,10,43650.0
E3_demanda_pico,3,0.0,0.8571428571428571,0.09649865160266194,42,36,11,43800.0
E3_demanda_pico,4,0.0,0.8958333333333334,0.09954399201455018,48,43,13,44150.0
E3_demanda_pico,4,0.0,0.972972972972973,0.09696933924334415,37,36,8,43800.0
